24 lists of 48 tune lists, 2 per (style, size)
config 1/70, 7 min elapsed
config 2/70, 14 min elapsed
config 3/70, 20 min elapsed
config 4/70, 27 min elapsed
config 5/70, 35 min elapsed
config 6/70, 41 min elapsed
config 7/70, 48 min elapsed
config 8/70, 55 min elapsed
config 9/70, 61 min elapsed
config 10/70, 68 min elapsed
config 11/70, 76 min elapsed
config 12/70, 82 min elapsed
config 13/70, 86 min elapsed
config 14/70, 91 min elapsed
config 15/70, 98 min elapsed
config 16/70, 103 min elapsed
config 17/70, 109 min elapsed
config 18/70, 117 min elapsed
config 19/70, 122 min elapsed
config 20/70, 130 min elapsed
config 21/70, 136 min elapsed
config 22/70, 142 min elapsed
config 23/70, 148 min elapsed
config 24/70, 156 min elapsed
config 25/70, 163 min elapsed
config 26/70, 171 min elapsed
config 27/70, 178 min elapsed
config 28/70, 183 min elapsed
config 29/70, 189 min elapsed
config 30/70, 194 min elapsed
config 31/70, 201 min elapsed
config 32/70, 204 min elapsed
config 33/70, 211 min elapsed
config 34/70, 217 min elapsed
config 35/70, 223 min elapsed
config 36/70, 231 min elapsed
config 37/70, 237 min elapsed
config 38/70, 245 min elapsed
config 39/70, 251 min elapsed
config 40/70, 258 min elapsed
config 41/70, 264 min elapsed
config 42/70, 270 min elapsed
config 43/70, 277 min elapsed
config 44/70, 284 min elapsed
config 45/70, 292 min elapsed
config 46/70, 299 min elapsed
config 47/70, 307 min elapsed
config 48/70, 315 min elapsed
config 49/70, 323 min elapsed
config 50/70, 330 min elapsed
config 51/70, 337 min elapsed
config 52/70, 345 min elapsed
config 53/70, 353 min elapsed
config 54/70, 360 min elapsed
config 55/70, 366 min elapsed
config 56/70, 371 min elapsed
config 57/70, 378 min elapsed
config 58/70, 385 min elapsed
config 59/70, 392 min elapsed
config 60/70, 397 min elapsed
config 61/70, 403 min elapsed
config 62/70, 409 min elapsed
config 63/70, 413 min elapsed
config 64/70, 420 min elapsed
config 65/70, 423 min elapsed
config 66/70, 430 min elapsed
config 67/70, 437 min elapsed
config 68/70, 444 min elapsed
config 69/70, 450 min elapsed
config 70/70, 456 min elapsed
